Wavelength(um),|S11|(Mag),Phase(S11)[rad],|S21|(Mag)
1.137186e+00,1.659441e-01,2.510378e+01,2.517584e-02
1.145729e+00,1.657019e-01,2.515206e+01,2.567604e-02
1.154271e+00,1.654365e-01,2.519887e+01,2.622353e-02
1.162814e+00,1.653552e-01,2.524453e+01,2.675905e-02
1.171357e+00,1.653540e-01,2.528801e+01,2.731705e-02
1.179899e+00,1.654116e-01,2.533071e+01,2.790735e-02
1.188442e+00,1.657072e-01,2.537173e+01,2.847998e-02
1.196985e+00,1.660098e-01,2.541137e+01,2.910833e-02
1.205528e+00,1.665633e-01,2.545030e+01,2.971853e-02
1.214070e+00,1.672124e-01,2.548738e+01,3.036744e-02
1.222613e+00,1.680246e-01,2.552430e+01,3.102624e-02
1.231156e+00,1.690582e-01,2.555949e+01,3.169308e-02
1.239698e+00,1.701704e-01,2.559456e+01,3.239848e-02
1.248241e+00,1.715895e-01,2.562843e+01,3.308862e-02
1.256784e+00,1.730449e-01,2.566201e+01,3.383472e-02
1.265327e+00,1.748437e-01,2.569495e+01,3.455335e-02
1.273869e+00,1.766653e-01,2.572751e+01,3.533584e-02
1.282412e+00,1.788391e-01,2.575985e+01,3.608546e-02
1.290955e+00,1.810293e-01,2.579184e+01,3.690202e-02
1.299497e+00,1.835720e-01,2.582385e+01,3.768325e-02
1.308040e+00,1.861184e-01,2.585567e+01,3.853180e-02
1.316583e+00,1.890158e-01,2.588757e+01,3.934529e-02
1.325126e+00,1.918995e-01,2.591957e+01,4.022197e-02
1.333668e+00,1.951239e-01,2.595150e+01,4.107041e-02
1.342211e+00,1.983288e-01,2.598394e+01,4.196814e-02
1.350754e+00,2.018338e-01,2.601603e+01,4.285706e-02
1.359296e+00,2.053525e-01,2.604904e+01,4.376659e-02
1.367839e+00,2.090746e-01,2.608141e+01,4.470141e-02
1.376382e+00,2.129027e-01,2.611494e+01,4.561677e-02
1.384925e+00,2.167821e-01,2.614782e+01,4.659358e-02
1.393467e+00,2.208926e-01,2.618162e+01,4.752091e-02
1.402010e+00,2.249125e-01,2.621528e+01,4.851775e-02
1.410553e+00,2.292183e-01,2.624910e+01,4.947886e-02
1.419095e+00,2.334255e-01,2.628360e+01,5.046524e-02
1.427638e+00,2.377932e-01,2.631749e+01,5.147717e-02
1.436181e+00,2.422379e-01,2.635242e+01,5.244651e-02
1.444724e+00,2.465996e-01,2.638682e+01,5.348618e-02
1.453266e+00,2.512077e-01,2.642156e+01,5.447640e-02
1.461809e+00,2.556582e-01,2.645673e+01,5.549073e-02
1.470352e+00,2.602326e-01,2.649124e+01,5.653387e-02
1.478894e+00,2.648840e-01,2.652659e+01,5.751901e-02
1.487437e+00,2.693712e-01,2.656154e+01,5.856847e-02
1.495980e+00,2.740809e-01,2.659633e+01,5.958953e-02
1.504523e+00,2.786831e-01,2.663177e+01,6.058500e-02
1.513065e+00,2.832285e-01,2.666643e+01,6.164274e-02
1.521608e+00,2.879698e-01,2.670136e+01,6.263923e-02
1.530151e+00,2.925081e-01,2.673654e+01,6.364185e-02
1.538693e+00,2.970859e-01,2.677089e+01,6.468874e-02
1.547236e+00,3.017977e-01,2.680569e+01,6.566237e-02
1.555779e+00,3.062766e-01,2.684044e+01,6.665892e-02
1.564322e+00,3.108444e-01,2.687441e+01,6.768595e-02
1.572864e+00,3.155070e-01,2.690884e+01,6.863559e-02
1.581407e+00,3.199294e-01,2.694309e+01,6.961075e-02
1.589950e+00,3.244486e-01,2.697656e+01,7.061419e-02
1.598492e+00,3.290637e-01,2.701044e+01,7.153768e-02
1.607035e+00,3.334354e-01,2.704417e+01,7.247659e-02
1.615578e+00,3.378728e-01,2.707706e+01,7.345318e-02
1.624121e+00,3.424458e-01,2.711023e+01,7.435143e-02
1.632663e+00,3.467877e-01,2.714340e+01,7.524100e-02
1.641206e+00,3.511206e-01,2.717569e+01,7.618305e-02
1.649749e+00,3.556437e-01,2.720802e+01,7.706221e-02
