wl,n
0.71503,0.17709
0.71661,0.17893
0.71820,0.18078
0.71978,0.18264
0.72136,0.18451
0.72295,0.18638
0.72453,0.18826
0.72611,0.19016
0.72770,0.19206
0.72928,0.19397
0.73086,0.19588
0.73244,0.19781
0.73403,0.19974
0.73561,0.20168
0.73719,0.20364
0.73878,0.20560
0.74036,0.20756
0.74194,0.20954
0.74353,0.21153
0.74511,0.21352
0.74669,0.21552
0.74828,0.21753
0.74986,0.21955
0.75144,0.22158
0.75303,0.22362
0.75461,0.22566
0.75619,0.22772
0.75778,0.22978
0.75936,0.23185
0.76094,0.23393
0.76253,0.23602
0.76411,0.23811
0.76569,0.24022
0.76727,0.24233
0.76886,0.24446
0.77044,0.24659
0.77202,0.24873
0.77361,0.25087
0.77519,0.25303
0.77677,0.25520
0.77836,0.25737
0.77994,0.25955
0.78152,0.26174
0.78311,0.26394
0.78469,0.26615
0.78627,0.26837
0.78786,0.27059
0.78944,0.27283
0.79102,0.27507
0.79261,0.27732
0.79419,0.27958
0.79577,0.28185
0.79735,0.28412
0.79894,0.28641
0.80052,0.28870
0.80210,0.29101
0.80369,0.29332
0.80527,0.29564
0.80685,0.29796
0.80844,0.30030
0.81002,0.30265
0.81160,0.30500
0.81319,0.30736
0.81477,0.30973
0.81635,0.31211
0.81794,0.31450
0.81952,0.31690
0.82110,0.31930
0.82269,0.32172
0.82427,0.32414
0.82585,0.32657
0.82743,0.32901
0.82902,0.33145
0.83060,0.33391
0.83218,0.33637
0.83377,0.33885
0.83535,0.34133
0.83693,0.34382
0.83852,0.34632
0.84010,0.34882
0.84168,0.35134
0.84327,0.35386
0.84485,0.35639
0.84643,0.35893
0.84802,0.36148
0.84960,0.36404
0.85118,0.36661
0.85277,0.36918
0.85435,0.37176
0.85593,0.37435
0.85752,0.37695
0.85910,0.37956
0.86068,0.38218
0.86226,0.38480
0.86385,0.38743
0.86543,0.39007
0.86701,0.39272
0.86860,0.39538
0.87018,0.39805
0.87176,0.40072
0.87335,0.40340
0.87493,0.40609
0.87651,0.40879
0.87810,0.41150
0.87968,0.41422
0.88126,0.41694
0.88285,0.41967
0.88443,0.42241
0.88601,0.42516
0.88760,0.42792
0.88918,0.43068
0.89076,0.43345
0.89234,0.43623
0.89393,0.43902
0.89551,0.44182
0.89709,0.44463
0.89868,0.44744
0.90026,0.45026
0.90184,0.45309
0.90343,0.45593
0.90501,0.45877
0.90659,0.46163
0.90818,0.46449
0.90976,0.46736
0.91134,0.47024
0.91293,0.47312
0.91451,0.47602
0.91609,0.47892
0.91768,0.48183
0.91926,0.48475
0.92084,0.48767
0.92242,0.49061
0.92401,0.49355
0.92559,0.49650
0.92717,0.49946
0.92876,0.50242
0.93034,0.50539
0.93192,0.50838
0.93351,0.51136
0.93509,0.51436
0.93667,0.51736
0.93826,0.52038
0.93984,0.52340
0.94142,0.52642
0.94301,0.52946
0.94459,0.53250
0.94617,0.53555
0.94776,0.53861
0.94934,0.54168
0.95092,0.54475
0.95251,0.54783
0.95409,0.55092
0.95567,0.55402
0.95725,0.55712
0.95884,0.56023
0.96042,0.56335
0.96200,0.56648
0.96359,0.56961
0.96517,0.57276
0.96675,0.57591
0.96834,0.57906
0.96992,0.58223
0.97150,0.58540
0.97309,0.58858
0.97467,0.59176
0.97625,0.59496
0.97784,0.59816
0.97942,0.60137
0.98100,0.60458
0.98259,0.60781
0.98417,0.61104
0.98575,0.61428
0.98733,0.61752
0.98892,0.62077
0.99050,0.62403
0.99208,0.62730
0.99367,0.63057
0.99525,0.63385
0.99683,0.63714
0.99842,0.64043
1.00000,0.64374
1.00301,0.65002
1.00601,0.65634
1.00902,0.66267
1.01202,0.66904
1.01503,0.67542
1.01804,0.68183
1.02104,0.68826
1.02405,0.69471
1.02705,0.70118
1.03006,0.70768
1.03307,0.71419
1.03607,0.72073
